rank_among_TFs	EGI	coex_score	rank_genomewide	percentile
534	8068770	0.0462	9252	0.5721816332192731
535	8064190	0.0462	9271	0.5713030611301211
536	8069712	0.0462	9289	0.5704707296772404
537	8058449	0.0462	9290	0.5704244890409692
538	8055531	0.03	9323	0.5688985480440211
539	8063703	0.03	9324	0.56885230740775
540	8058010	0.03	9345	0.5678812540460556
541	8083360	0.03	9349	0.5676962915009711
542	8064852	0.03	9405	0.5651068158697864
543	8075156	0.03	9412	0.5647831314158882
544	110434932	0.03	9459	0.5626098215111439
545	8085435	0.0138	9461	0.5625173402386017
546	8085964	0.0138	9471	0.5620549338758901
547	8075863	0.0138	9479	0.5616850087857209
548	8057368	0.0138	9488	0.5612688430592805
549	110429775	0.0138	9497	0.5608526773328402
550	8056619	0.0138	9506	0.5604365116063996
551	8059158	0.0138	9513	0.5601128271525015
552	8068362	0.0138	9526	0.5595116988809766
553	8075119	0.0138	9548	0.5584944048830112
554	8060554	0.0138	9549	0.55844816424674
555	8078580	0.0138	9558	0.5580319985202997
556	8058233	0.0138	9575	0.55724590770369
557	8078710	0.0138	9592	0.5564598168870803
558	8055613	-0.0025	9674	0.5526680847128457
559	8061495	-0.0025	9700	0.5514658281697956
560	8082603	-0.0025	9760	0.5486913899935263
561	110436144	-0.0025	9762	0.5485989087209839
562	8080721	-0.0025	9801	0.546795523906409
563	8068183	-0.0025	9820	0.5459169518172571
564	8072504	-0.0025	9837	0.5451308610006473
565	8057259	-0.0187	9844	0.5448071765467493
566	8070136	-0.0187	9850	0.5445297327291223
567	8069381	-0.0187	9853	0.5443910108203089
568	8071916	-0.0187	9858	0.5441598076389531
569	8061805	-0.0187	9880	0.5431425136409878
570	8054868	-0.0187	9881	0.5430962730047165
571	110431897	-0.0187	9901	0.5421714602792934
572	8081019	-0.0187	9907	0.5418940164616666
573	8080395	-0.0187	9917	0.5414316100989549
574	110434646	-0.0187	9978	0.5386109312864145
575	8064615	-0.0187	9985	0.5382872468325164
576	8081931	-0.0187	9989	0.5381022842874318
577	8057783	-0.0187	9994	0.5378710811060761
578	8083335	-0.0187	9996	0.5377785998335337
579	8076977	-0.0187	10008	0.5372237121982799
580	110435678	-0.0349	10047	0.5354203273837048
581	8074450	-0.0349	10049	0.5353278461111625
582	110429792	-0.0349	10059	0.5348654397484509
583	8057846	-0.0349	10098	0.5330620549338758
584	8061989	-0.0349	10135	0.5313511513918432
585	8069252	-0.0349	10180	0.5292703227596411
586	8065614	-0.0349	10181	0.52922408212337
587	8085727	-0.0349	10192	0.5287154351243872
588	8079521	-0.0511	10211	0.5278368630352354
589	8061655	-0.0511	10215	0.5276519004901508
590	8058420	-0.0511	10253	0.5258947563118468
591	8079868	-0.0511	10305	0.5234902432257468
592	8063671	-0.0511	10350	0.5214094145935448
593	8082391	-0.0673	10366	0.5206695644132063
594	8078546	-0.0673	10374	0.520299639323037
595	8072399	-0.0673	10422	0.5180800887820216
596	8063911	-0.0673	10423	0.5180338481457505
597	8078881	-0.0673	10433	0.5175714417830389
598	8071537	-0.0673	10478	0.515490613150837
599	8061826	-0.0673	10485	0.5151669286969389
600	8084155	-0.0673	10487	0.5150744474243966
601	8066575	-0.0673	10493	0.5147970036067696
602	8071483	-0.0673	10511	0.5139646721538889
603	8067036	-0.0673	10526	0.5132710626098216
604	8058691	-0.0673	10529	0.513132340701008
605	8078946	-0.0673	10552	0.5120688060667715
606	8055813	-0.0673	10558	0.5117913622491446
607	8082690	-0.0835	10571	0.5111902339776195
